table,category,rows_live,what_it_holds,populated_by,status,
organization,Identity,26669,"Companies: 18,623 Princeton peers + EDGAR filers + real peers/customers",Princeton+EDGAR+connectors,POPULATED (18,['653 have a domain now)']
organization_alias,Identity,50073,cik/ticker/legal_name/domain aliases for entity resolution,EDGAR+Princeton+connectors,POPULATED (domain aliases now exist via Princeton),
organization_intelligence_profile,Identity,116,7-dimension VICBNF profile (IC/RSS/PGMS/OSI/DSI/EHP/AIGMS),Deterministic profiler,POPULATED (116 profiles; +85 fresh demo-industry orgs via scaled profiler),['669 orgs profiled)']
profiles,Identity,3,Auth user profiles (roles),Auth bootstrap,MINIMAL,
source_registry,Ingestion,7,Configurable source-family registry,Seed,POPULATED (only hhs_ocr enabled; state_ag disabled),
ingestion_run,Ingestion,25,One row per connector execution (audit trail),All connectors,POPULATED,
parser_version,Ingestion,7,Versioned parser registry (lineage),Connectors,POPULATED,
source_record,Ingestion,27082,"Raw-source provenance: princeton 18,630 / edgar 8,009 / ftc 42 / open_web 14 / cppa 12 / hhs 1 + legacy",All connectors,POPULATED,
source_version,Ingestion,26779,Content-hash version history (change detection),Connector framework,POPULATED,
crawl_target,Ingestion,290,Open-web crawl work-list (domain/status),seed_crawl_targets,POPULATED (retail/healthcare/fintech demo targets seeded + crawled; open-web sector-filter bug fixed),
privacy_notice,Notice,18801,"Notices: dataset 18,630 / live 59 / consumer 25 / open_web 14 / glba 1",Princeton+intake+open_web,"POPULATED (fresh 2026 open_web notices added: fintech 13 / retail 25 / healthcare 31 — CQS-fresh, replacing reliance on 2019 Princeton)",
notice_section,Notice,540147,Sections of decomposed notices,Intake decompose,POPULATED,
disclosure_clause,Notice,684445,Decomposed + classified clauses (semantic DNA),Intake decompose,"POPULATED (category_v2 backlog on fresh clauses deferred to reclassifier; is_exemplar/exemplar_status added, 16 approved de-id-passing exemplars across 8 domains)",
clause_obligation,Notice,0,Clause<->obligation matcher output (Part-B),Part-B matcher,EMPTY (Part-B matcher implemented but deferred: clause embeddings only 2.8% populated — 658k backlog),
regulator,Enforcement,9,FTC/CPPA/CFPB/OCR/5 state AGs,Seed + connectors,POPULATED,
enforcement_record,Enforcement,653,Regulator enforcement actions (FTC/CPPA/AG + legacy),FTC/CPPA/StateAG + ingest_enforcement,"POPULATED (30 resolved / 623 unresolved — deterministic resolver re-run found 0 safe additional matches; remainder review-queue, never forced)",
litigation_event,Enforcement,14,Tier-2 litigation events,ingest_enforcement,SPARSE,
security_event,Enforcement,707,HHS OCR breach reports (org-risk signals),hhs_ocr connector,POPULATED (11 resolved / 696 unresolved — same: 0 safe additional deterministic matches),
obligation,Enforcement,273,Regulatory obligations/requirements,ingest_state_laws,POPULATED,
benchmark_cluster,Benchmark,6,Benchmark cohort definitions,F03 job,"POPULATED (6: 3 v1 + 3 new v2 demo cohorts retail/healthcare/fintech, 2026-07-27)",
benchmark_membership,Benchmark,109,Org<->cohort membership,F03 job,"POPULATED (v2 demo cohorts: retail 25 / healthcare 31 / fintech 23, all full-confidence, weighted; live-queryable n per M-12)",
exemplar,Benchmark,46,Best/worst clause exemplars,Curation,POPULATED,
risk_finding,Scoring,200,Scored findings per assessment,Scoring engine,POPULATED,
derived_data_item,Scoring,1444,Explainability lineage items,Scoring engine,POPULATED,
finding_type,Scoring,8,Finding Codex (finding types),Seed/Codex,MINIMAL (8 types),
finding_clause,Scoring,356,Finding<->clause junction,Scoring,POPULATED,
finding_enforcement,Scoring,352,Finding<->enforcement junction,Scoring,POPULATED,
finding_legal_reference,Scoring,27,Finding<->legal-reference junction,Scoring,SPARSE,
recommendation_library,Scoring,8,Remediation recommendation library,Seed,MINIMAL,
formula_version,Scoring,14,Versioned scoring formulas (F-001..F-014),Seed,"POPULATED (14 rows; plain-English guardrail-safe description column populated, 0 NULL — M-10 content prerequisite met)",
legal_reference,Legal,68,eCFR/GDPR/state-law references,ingest_legal_refs,POPULATED,
explainability_reference,Legal,0,Explainability citation registry,—,EMPTY,
report_snapshot,Output,108,Generated report snapshots (immutable freeze),Report generation + approve_and_freeze,POPULATED,
assessment_review,Review,0,SME review state (DB-authoritative after F06),review.py,EMPTY (persistence wired; no reviews performed yet),
review_queue_item,Review,0,VCI analyst review queue,review.py,EMPTY (persistence wired; queue empty),
platform_setting,Config,0,Platform gate-mode / settings (key/value),review.py set_gate_mode,EMPTY (defaults to strict until first write),
monitoring_event,Output,5,Change/monitoring events,Monitoring,SPARSE,
training_label,Output,0,SME correction flywheel labels (DB-authoritative after F06),training.py capture_label,EMPTY (persistence wired; no SME actions yet),
sic_industry_map,Config,13,DRAFT SIC->industry crosswalk (expert-gated),Migration 0025 seed,"AI-REVIEWED (11 rows corrected to canonical 10-industry taxonomy + ai_reviewed; 2 Entertainment&Media left draft, OD-09) — human SME approval pending",
ftc_topic_domain_map,Config,25,FTC-topic->Visentix-domain crosswalk,Migration 0026 (empty scaffold),"AI-REVIEWED (25 FTC topics crosswalked; 11 mapped to a domain, 14 domain=NULL honest non-mapping) — human SME approval pending",
schema_migrations,Migration,35,Applied-migration ledger,apply_and_record,POPULATED,
